"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 07-Aug-2026","1W AGO 
 31-Jul-2026","1M AGO 
 07-Jul-2026","1Y AGO 
 06-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,570.65","-0.27","24,538.90","24,630.40","24,522.75","-","24,636.00","24,570.65","24,383.60","24,398.70","24,574.20","26,373.20","22,182.55",0.7,-0.1
"NIFTY NEXT 50","74,697.55","0.23","74,490.30","74,848.65","74,442.40","-","74,526.75","74,697.55","73,651.30","72,248.45","66,181.35","74,860.10","59,896.10",3.39,12.6
"NIFTY BANK","57,746.45","-0.55","57,882.00","57,994.45","57,686.55","-","58,063.65","57,746.45","57,264.85","58,200.70","55,411.15","61,764.85","49,954.85",-0.78,4.01
"NIFTY FINANCIAL SERVICES","26,466.00","-1.48","26,703.25","26,709.10","26,450.15","-","26,863.50","26,466.00","26,594.05","26,985.05","26,371.15","28,562.50","23,373.95",-1.92,0.24
"NIFTY MIDCAP SELECT","14,875.00","0.42","14,800.60","14,935.10","14,785.30","-","14,812.60","14,875.00","14,784.40","14,638.45","12,636.40","14,954.00","12,046.20",1.62,16.9
"NIFTY 100","25,712.70","-0.17","25,672.40","25,771.20","25,664.25","-","25,757.40","25,712.70","25,486.35","25,409.65","25,156.35","26,975.15","22,720.45",1.19,2.09
"NIFTY 200","14,231.10","-0.10","14,203.85","14,260.70","14,199.90","-","14,244.75","14,231.10","14,106.30","14,044.05","13,686.15","14,700.95","12,396.10",1.33,3.82
"NIFTY 500","23,712.10","-0.07","23,665.60","23,754.50","23,657.10","-","23,729.45","23,712.10","23,460.70","23,368.85","22,666.85","24,144.20","20,385.65",1.47,4.49
"NIFTY MIDCAP 50","18,172.60","0.26","18,100.85","18,225.60","18,083.45","-","18,125.25","18,172.60","18,105.85","17,864.05","15,955.65","18,324.45","14,804.55",1.73,13.34
"NIFTY MIDCAP 100","63,463.55","0.22","63,254.90","63,596.65","63,181.50","-","63,326.80","63,463.55","62,915.30","62,285.30","56,749.75","63,852.15","52,032.85",1.89,11.46
"NIFTY SMALLCAP 100","19,867.80","-0.05","19,848.55","19,927.90","19,804.30","-","19,878.25","19,867.80","19,339.65","19,213.40","17,662.60","19,936.55","14,986.00",3.41,12.29
"INDIA VIX","12.18","0.18","12.16","12.55","11.30","-","12.16","12.16","11.76","11.65","11.96","28.91","8.72",4.55,4.19
"NIFTY MIDCAP 150","23,362.90","0.22","23,285.05","23,402.65","23,262.70","-","23,310.55","23,362.90","23,138.45","22,912.30","21,096.65","23,479.70","19,218.00",1.97,10.45
"NIFTY SMALLCAP 50","9,955.90","0.11","9,937.00","9,965.35","9,909.50","-","9,945.05","9,955.90","9,644.45","9,531.70","8,512.55","9,968.00","7,338.35",4.45,16.59
"NIFTY SMALLCAP 250","18,356.55","-0.01","18,323.50","18,404.45","18,301.70","-","18,358.65","18,356.55","17,919.90","17,953.10","16,770.10","18,407.75","14,143.45",2.25,9.57
"NIFTY MIDSMALLCAP 400","21,546.15","0.14","21,485.70","21,579.25","21,465.20","-","21,515.30","21,546.15","21,234.20","21,110.45","19,548.55","21,620.15","17,390.85",2.06,10.07
"NIFTY500 MULTICAP 50:25:25","16,793.00","-0.03","16,758.35","16,817.75","16,750.05","-","16,798.75","16,793.00","16,578.60","16,520.05","15,802.40","16,840.90","14,102.20",1.65,6.16
"NIFTY LARGEMIDCAP 250","16,952.90","0.03","16,911.35","16,980.20","16,903.65","-","16,948.65","16,952.90","16,796.85","16,689.55","15,924.45","17,077.75","14,445.65",1.58,6.26
"NIFTY TOTAL MARKET","13,385.85","-0.07","13,360.20","13,408.50","13,355.45","-","13,395.05","13,385.85","13,230.25","13,181.05","12,759.10","13,548.00","11,436.55",1.55,4.8
"NIFTY MICROCAP 250","26,056.00","0.03","26,030.70","26,093.30","25,979.00","-","26,048.35","26,056.00","25,178.75","25,191.90","23,343.45","26,188.85","18,858.50",3.43,11.97
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,760.80","0.01","18,718.95","18,784.20","18,707.40","-","18,758.45","18,760.80","18,496.45","18,428.15","17,436.80","18,811.65","15,495.10",1.81,7.49
"NIFTY INDIA FPI 150","1,592.55","-0.04","1,588.45","1,595.30","1,588.05","-","1,593.15","1,592.55","1,580.50","1,566.90","-","1,641.40","1,346.50",1.64,0
"NIFTY SMALLCAP 500","20,893.65","-","20,863.55","20,937.15","20,838.50","-","20,894.05","20,893.65","20,331.20","20,360.15","-","20,959.70","15,960.20",2.62,0
"NIFTY MIDSMALLCAP400 50:50","21,012.65","0.11","20,958.80","21,043.45","20,938.20","-","20,990.30","21,012.65","20,661.35","20,578.70","-","21,069.60","16,874.30",2.11,0
"NIFTY AUTO","29,647.90","1.84","29,012.45","29,647.90","29,011.30","-","29,113.40","29,647.90","28,744.15","27,343.50","23,748.85","29,647.90","23,560.10",8.43,24.53
"NIFTY FINANCIAL SERVICES 25/50","28,901.80","-1.43","29,168.90","29,187.30","28,887.75","-","29,321.40","28,901.80","29,055.85","29,404.75","28,354.05","-","-",-1.71,1.86
"NIFTY FMCG","49,435.20","0.13","49,325.20","49,628.85","49,217.55","-","49,369.85","49,435.20","49,121.20","50,225.85","55,230.80","58,485.05","45,334.15",-1.57,-10.6
"NIFTY IT","31,547.70","1.42","31,067.05","31,799.15","31,047.45","-","31,106.20","31,547.70","30,708.90","27,939.15","34,426.25","40,301.40","25,699.10",12.92,-9.15
"NIFTY MEDIA","1,554.95","-","1,550.10","1,565.70","1,545.60","-","1,555.00","1,554.95","1,618.65","1,486.80","1,620.70","1,674.40","1,245.05",4.58,-5
"NIFTY METAL","13,189.85","0.50","13,099.05","13,191.85","13,064.75","-","13,124.60","13,189.85","12,719.00","12,582.75","9,298.75","13,931.35","9,132.20",4.82,41.66
"NIFTY PHARMA","26,541.80","-0.09","26,515.70","26,575.25","26,404.50","-","26,564.80","26,541.80","26,534.80","25,677.70","21,523.75","26,801.20","21,149.90",3.37,22.4
"NIFTY PSU BANK","8,786.20","0.65","8,702.60","8,869.80","8,672.20","-","8,729.25","8,786.20","8,367.20","8,298.30","6,889.05","9,918.65","6,730.30",5.88,27.16
"NIFTY PRIVATE BANK","27,392.35","-1.04","27,597.25","27,656.40","27,357.25","-","27,679.90","27,392.35","27,522.65","28,305.35","26,850.65","29,748.45","23,957.45",-3.23,1.83
"NIFTY REALTY","885.95","-0.10","884.20","893.20","883.85","-","886.85","885.95","901.45","892.60","894.15","974.50","638.65",-0.75,-0.79
"NIFTY HEALTHCARE INDEX","16,708.90","0.07","16,681.70","16,739.45","16,622.30","-","16,696.70","16,708.90","16,755.50","16,343.90","14,223.35","16,921.05","13,536.50",2.23,16.77
"NIFTY CONSUMER DURABLES","40,089.90","-0.72","40,330.65","40,543.10","39,823.05","-","40,381.40","40,089.90","40,072.15","37,709.30","38,134.80","40,631.50","32,587.95",6.31,4.72
"NIFTY OIL & GAS","11,312.20","0.07","11,276.50","11,344.45","11,238.95","-","11,304.30","11,312.20","11,247.70","11,248.90","11,018.15","12,445.70","10,580.95",0.56,2.86
"NIFTY MIDSMALL HEALTHCARE","52,646.45","1.00","52,019.40","52,784.35","51,917.05","-","52,126.30","52,646.45","51,754.10","50,565.80","43,853.15","52,784.35","40,352.90",4.11,19.15
"NIFTY FINANCIAL SERVICES EX-BANK","32,415.00","-1.91","32,787.80","32,787.80","32,371.40","-","33,045.35","32,415.00","32,793.45","32,232.75","29,011.45","33,301.05","26,788.05",0.57,11.32
"NIFTY MIDSMALL FINANCIAL SERVICES","22,294.60","-0.27","22,310.00","22,394.95","22,243.50","-","22,354.85","22,294.60","22,312.30","22,340.90","17,728.75","22,772.50","17,421.50",-0.21,24.41
"NIFTY MIDSMALL IT & TELECOM","9,853.45","0.92","9,764.95","9,885.60","9,756.05","-","9,763.20","9,853.45","9,681.75","9,396.35","9,317.05","10,591.60","7,748.35",4.86,4.97
"NIFTY CHEMICALS","30,585.20","-0.67","30,744.40","30,907.75","30,503.10","-","30,791.80","30,585.20","30,096.25","29,948.40","30,847.14","31,895.45","24,851.65",2.13,0.33
"NIFTY500 HEALTHCARE","21,734.00","0.28","21,640.90","21,760.90","21,605.60","-","21,673.15","21,734.00","21,622.55","21,140.35","-","21,820.70","16,294.60",2.81,0
"NIFTY REITS & REALTY","1,938.60","0.19","1,933.20","1,942.50","1,932.85","-","1,934.90","1,938.60","1,945.70","1,934.85","-","2,012.90","1,632.55",0.19,0
"NIFTY CEMENT","15,442.10","0.14","15,432.10","15,451.00","15,292.90","-","15,420.95","15,442.10","15,207.75","15,266.00","-","18,188.60","13,534.80",1.15,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,062.75","0.54","6,018.80","6,072.65","6,015.95","-","6,030.30","6,062.75","5,939.10","5,816.60","5,817.75","6,584.65","5,614.00",4.23,4.03
